NAME,CLUB,LEAGUE,POSITION,TIER
Leandro Benegas,Deportes Ñuñoa,Chile Campeonato Nacional Scotiabank,ST,Silver
Franz Schultz,Deportes Antofagasta,Chile Campeonato Nacional Scotiabank,RB,Silver
Ronald de la Fuente,CD Viñazur,Chile Campeonato Nacional Scotiabank,LB,Silver
José Luis Muñoz,O'Higgins,Chile Campeonato Nacional Scotiabank,LM,Silver
Nicolás Berardo,Coquimbo Unido,Chile Campeonato Nacional Scotiabank,LB,Silver
Wilder Guisao,Cúcuta Deportivo,Colombia Liga Aguila,RW,Silver
Matías Laba,Union La Calera,Chile Campeonato Nacional Scotiabank,CDM,Silver
Juan Villota,Unión Magdalena,Colombia Liga Aguila,CAM,Silver
César Valenzuela,Huachipato,Chile Campeonato Nacional Scotiabank,CAM,Silver
Sebastián Martínez,Huachipato,Chile Campeonato Nacional Scotiabank,CDM,Silver
Paulo Magalhães,O'Higgins,Chile Campeonato Nacional Scotiabank,RB,Silver
Héctor Urrego,Independiente Medellín,Colombia Liga Aguila,CB,Silver
Iván Rivas,Rionegro Águilas Doradas,Colombia Liga Aguila,CM,Silver
Felipe Flores,Deportes Antofagasta,Chile Campeonato Nacional Scotiabank,LM,Silver
Luis Narváez,Junior de Barranquilla,Colombia Liga Aguila,CDM,Silver
Fabio Burbano,Independiente Santa Fe,Colombia Liga Aguila,LM,Silver
Juan David Cabezas,Houston Dynamo,USA Major League Soccer,CDM,Silver
Kwasi Okyere Wriedt,Bayern München II,Germany 3. Liga,ST,Silver
Duane Holmes,Derby County,England EFL Championship,CAM,Silver
Petteri Forsell,HJK Helsinki,Finland Veikkausliiga,CAM,Silver
Hervin Ongenda,FC Botoşani,Romania Liga I,CAM,Silver
Ashley Fletcher,Middlesbrough,England EFL Championship,ST,Silver
Samuel Gustafson,Cremonese,Italy Serie B,CM,Silver
Osvaldo Bosso,Audax Italiano,Chile Campeonato Nacional Scotiabank,RB,Silver
Juan Cornejo,Universidad Católica,Chile Campeonato Nacional Scotiabank,LB,Silver
Jacob Une Larsson,Djurgårdens IF,Sweden Allsvenskan,CB,Silver
Eduardo López,Guadalajara,Mexico Liga MX,RM,Silver
Rubén González,América,Mexico Liga MX,CM,Silver
Paweł Dawidowicz,Hellas Verona,Italy Serie A,CB,Silver
Steeven Willems,Charleroi,Belgium Jupiler Pro League,LB,Silver
Lee Evans,Wigan Athletic,England EFL Championship,CDM,Silver
Jón Daði Böðvarsson,Millwall,England EFL Championship,ST,Silver
José Cevallos,Portimonense,Portugal Liga NOS,CAM,Silver
Kensuke Nagai,F.C. Tokyo,Japan J1 League,ST,Silver
René Klingenburg,Dynamo Dresden,Germany 2. Bundesliga,CM,Silver
Mouhamadou-Naby Sarr,Charlton Athletic,England EFL Championship,CB,Silver
Pedro Franco,América de Cali,Colombia Liga Aguila,CB,Silver
Besar Halimi,SV Sandhausen,Germany 2. Bundesliga,CM,Silver
Jamie Maclaren,Melbourne City,Australia Hyundai A-League,ST,Silver
Nikola Storm,KV Mechelen,Belgium Jupiler Pro League,RM,Silver
Mario Maloča,Lechia Gdańsk,Poland Ekstraklasa,CB,Silver
Jordi Vanlerberghe,KV Mechelen,Belgium Jupiler Pro League,CDM,Silver
Max Lowe,Derby County,England EFL Championship,LB,Silver
Mahlon Romeo,Millwall,England EFL Championship,RB,Silver
Tobias Schröck,FC Ingolstadt 04,Germany 3. Liga,CB,Silver
Martin Konczkowski,Piast Gliwice,Poland Ekstraklasa,RM,Silver
Bruno Mendes,Cerezo Osaka,Japan J1 League,ST,Silver
Robert Leipertz,1. FC Heidenheim,Germany 2. Bundesliga,RM,Silver
Tim Knipping,Jahn Regensburg,Germany 2. Bundesliga,CB,Silver
Josip Radošević,Brøndby IF,Denmark Superliga,CDM,Silver
Jamal Lowe,Wigan Athletic,England EFL Championship,RM,Silver
Claudio Corvalán,Unión Santa Fe,Argentina Primera División ,LB,Silver
Nono,Extremadura UD,Spain Segunda A,LM,Silver
Pinillos,Barnsley,England EFL Championship,LB,Silver
Declan John,Swansea City,England EFL Championship,LB,Silver
Edison Flores,Monarcas Morelia,Mexico Liga MX,LM,Silver
Riccardo Fiamozzi,Lecce,Italy Serie A,RB,Silver
Dimitris Diamantakos,FC St. Pauli,Germany 2. Bundesliga,ST,Silver
Michael Duffy,Dundalk FC,Rep. Ireland Airtricity League,LM,Silver
Jairo Palomino,Envigado,Colombia Liga Aguila,CDM,Silver
Johannes Wurtz,SV Darmstadt 98,Germany 2. Bundesliga,ST,Silver
Benedikt Saller,Jahn Regensburg,Germany 2. Bundesliga,RB,Silver
Quini,Granada CF,Spain Primera Division,LB,Silver
Buatu,Mouscron,Belgium Jupiler Pro League,CB,Silver
Bilal Başaçıkoğlu,Kayserispor,Turkey Süper Lig,LM,Silver
Ventura Alvarado,Necaxa,Mexico Liga MX,CB,Silver
Birama Touré,AJ Auxerre,France Ligue 2,CDM,Silver
Jordan Adéoti,AJ Auxerre,France Ligue 2,CDM,Silver
Bram van Polen,PEC Zwolle,Holland Eredivisie,CB,Silver
Philipp Ziereis,FC St. Pauli,Germany 2. Bundesliga,CB,Silver
Johan Gastien,Clermont Foot,France Ligue 2,CDM,Silver
Rober Correa,SD Eibar,Spain Primera Division,RB,Silver
Dominik Furman,Wisła Płock,Poland Ekstraklasa,CDM,Silver
Hjörtur Hermannsson,Brøndby IF,Denmark Superliga,CB,Silver
Axel Ngando,AJ Auxerre,France Ligue 2,CAM,Silver
Magnus Eriksson,San Jose Earthquakes,USA Major League Soccer,CAM,Silver
Matteo Ricci,Spezia,Italy Serie B,CM,Silver
Simone Branca,Cittadella,Italy Serie B,CM,Silver
Levent Gülen,Kayserispor,Turkey Süper Lig,CB,Silver
Lars Veldwijk,Sparta Rotterdam,Holland Eredivisie,ST,Silver
Kacper Przybyłko,Philadelphia Union,USA Major League Soccer,ST,Silver
Thomas Eisfeld,VfL Bochum,Germany 2. Bundesliga,CAM,Silver
Murray Wallace,Millwall,England EFL Championship,CB,Silver
Denys Bain,Stade Brestois 29,France Ligue 1,CB,Silver
Thomas Lam,PEC Zwolle,Holland Eredivisie,CB,Silver
Matty Pearson,Luton Town,England EFL Championship,CB,Silver
Ewerton,Urawa Red Diamonds,Japan J1 League,CM,Silver
Douglas Grolli,Marítimo,Portugal Liga NOS,CB,Silver
Joseph-Claude Gyau,FC Cincinnati,USA Major League Soccer,LM,Silver
Amari'i Bell,Blackburn Rovers,England EFL Championship,LB,Silver
Ethan Finlay,Minnesota United FC,USA Major League Soccer,RM,Silver
Modou Barrow,Denizlispor,Turkey Süper Lig,LM,Silver
Bryan Carrasco,Tiburones Rojos de Veracruz,Mexico Liga MX,RM,Silver
Mohamed Yattara,AJ Auxerre,France Ligue 2,ST,Silver
Patricio Rodríguez,Moreirense,Portugal Liga NOS,LW,Silver
Darren Mattocks,FC Cincinnati,USA Major League Soccer,ST,Silver
Carlos Labrín,Audax Italiano,Chile Campeonato Nacional Scotiabank,CB,Silver
Jamie Walker,Heart of Midlothian,Scotland Premiership,CAM,Silver
Ko Kwang Min,FC Seoul,Korea K-League Classic,LM,Silver
Marvin Baudry,Zulte Waregem,Belgium Jupiler Pro League,CB,Silver
Larry Azouni,Kortrijk,Belgium Jupiler Pro League,RB,Silver
Laurent Jans,SC Paderborn 07,Germany 1. Bundesliga,RB,Silver
Wilfried Zahibo,New England Revolution,USA Major League Soccer,CDM,Silver
Cenk Şahin,FC St. Pauli,Germany 2. Bundesliga,RM,Silver
Dieguinho,Belenenses,Portugal Liga NOS,RW,Silver
Nicolaj Thomsen,FC København,Denmark Superliga,LM,Silver
Caner Çavlan,Austria Wien,Austria Bundesliga,LB,Silver
Borys Tashchy,FC St. Pauli,Germany 2. Bundesliga,ST,Silver
Musa Nyatama,Orlando Pirates,South Africa Premier SL,CM,Silver
Erick Mathoho,Kaizer Chiefs,South Africa Premier SL,CB,Silver
Luís Martins,Sporting KC,USA Major League Soccer,LB,Silver
Lenny Nangis,Sarpsborg 08 FF,Norway Eliteserien,RM,Silver
Cristian Insaurralde,Newell's Old Boys,Argentina Primera División ,LW,Silver
Sandy Walsh,Zulte Waregem,Belgium Jupiler Pro League,RB,Silver
Mike van Duinen,PEC Zwolle,Holland Eredivisie,ST,Silver
Dave Bulthuis,Ulsan Hyundai,Korea K-League Classic,CB,Silver
Rúben Ferreira,Marítimo,Portugal Liga NOS,LB,Silver
Edmond Akichi,AS Nancy,France Ligue 2,CDM,Silver
Tiago Ilori,Sporting CP,Portugal Liga NOS,CB,Silver
Guillermo,CD Numancia,Spain Segunda A,ST,Silver
Bjarne Thoelke,Admira Wacker,Austria Bundesliga,CB,Silver
Nils Röseler,VVV-Venlo,Holland Eredivisie,CB,Silver
Mamadou Koné,RC Deportivo,Spain Segunda A,ST,Silver
Billel Omrani,CFR Cluj,Romania Liga I,ST,Silver
Gary Mackay-Steven,New York City FC,USA Major League Soccer,RM,Silver
Diego Rubio,Colorado Rapids,USA Major League Soccer,ST,Silver
Paweł Olkowski,Gazişehir Gaziantep F.K.,Turkey Süper Lig,RB,Silver
Oriol Rosell,Orlando City SC,USA Major League Soccer,CDM,Silver
Gus Ledes,CD Numancia,Spain Segunda A,CM,Silver
Alberto Almici,Hellas Verona,Italy Serie A,RB,Silver
Fernando Lewis,Willem II,Holland Eredivisie,RB,Silver
Niklas Dams,SV Wehen Wiesbaden,Germany 2. Bundesliga,CB,Silver
Saido Berahino,Zulte Waregem,Belgium Jupiler Pro League,ST,Silver
Tomer Hemed,Brighton & Hove Albion,England Premier League,ST,Silver
Rafał Wolski,Lechia Gdańsk,Poland Ekstraklasa,CAM,Silver
Matteo Legittimo,Cosenza,Italy Serie B,CB,Silver
Clément Tainmont,KV Mechelen,Belgium Jupiler Pro League,LM,Silver
Chaker Alhadhur,La Berrichonne,France Ligue 2,LB,Silver
Jurgen Mattheij,Sparta Rotterdam,Holland Eredivisie,CB,Silver
Lucas Aveldaño,Deportes Ñuñoa,Chile Campeonato Nacional Scotiabank,CB,Silver
Christopher Dibon,Rapid Wien,Austria Bundesliga,CB,Silver
Conor Townsend,West Bromwich Albion,England EFL Championship,LB,Silver
Kijera,CD Mirandés,Spain Segunda A,CB,Silver
Cristian Galano,Pescara,Italy Serie B,ST,Silver
George Maluleka,Kaizer Chiefs,South Africa Premier SL,CM,Silver
Quentin Martinus,Urawa Red Diamonds,Japan J1 League,RM,Silver
Sammy Ameobi,Nottingham Forest,England EFL Championship,RM,Silver
Aiden O'Brien,Millwall,England EFL Championship,LM,Silver
Derrick Williams,Blackburn Rovers,England EFL Championship,LB,Silver
Gustav Valsvik,Rosenborg BK,Norway Eliteserien,CB,Silver
Héber,New York City FC,USA Major League Soccer,ST,Silver
Josh Scowen,Queens Park Rangers,England EFL Championship,CDM,Silver
Petar Filipović,LASK,Austria Bundesliga,CB,Silver
Nathan Byrne,Wigan Athletic,England EFL Championship,RB,Silver
Richard Boateng,AD Alcorcón,Spain Segunda A,CM,Silver
Etiënne Reijnen,PEC Zwolle,Holland Eredivisie,CB,Silver
Florian Hartherz,Arminia Bielefeld,Germany 2. Bundesliga,LB,Silver
Aníbal Capela,Cosenza,Italy Serie B,CB,Silver
Richie Towell,Salford City,England EFL League Two,CM,Silver
Kim Ho Nam,Incheon United,Korea K-League Classic,RM,Silver
Muralha,Al Hazem,Saudi Dawry Jameel League,CDM,Silver
Justin Meram,Atlanta United FC,USA Major League Soccer,LM,Silver
CJ Sapong,Chicago Fire,USA Major League Soccer,ST,Silver
Dimitri Petratos,Newcastle Jets,Australia Hyundai A-League,RM,Silver
Moses Odubajo,Sheffield Wednesday,England EFL Championship,RB,Silver
Viktor Klonaridis,AEK Athens,Greece A'Ethniki,RM,Silver
Will Bruin,Seattle Sounders,USA Major League Soccer,ST,Silver
Thomas Bruns,PEC Zwolle,Holland Eredivisie,CM,Silver
Andre Wisdom,Derby County,England EFL Championship,RB,Silver
Jakob Ankersen,Aarhus GF,Denmark Superliga,LM,Silver
Doneil Henry,Vancouver Whitecaps,USA Major League Soccer,CB,Silver
George Baldock,Sheffield United,England Premier League,RWB,Silver
Patrick Hoban,Dundalk FC,Rep. Ireland Airtricity League,ST,Silver
Jordan Obita,Reading,England EFL Championship,LB,Silver
Alessandro Crescenzi,Hellas Verona,Italy Serie A,RB,Silver
Alexander Merkel,Heracles Almelo,Holland Eredivisie,CM,Silver
Douglas Vieira,Sanfrecce Hiroshima,Japan J1 League,ST,Silver
Maurice Trapp,VfL Osnabrück,Germany 2. Bundesliga,CB,Silver
Billy Bodin,Preston North End,England EFL Championship,RM,Silver
Marcelo Silva,Real Salt Lake,USA Major League Soccer,CB,Silver
Jonathan Rivierez,SM Caen,France Ligue 2,RB,Silver
Johan Kappelhof,Chicago Fire,USA Major League Soccer,CB,Silver
Sebastian Neumann,MSV Duisburg,Germany 3. Liga,CB,Silver
Rilwan Hassan,SønderjyskE,Denmark Superliga,RW,Silver
Kamil Çörekçi,Trabzonspor,Turkey Süper Lig,RB,Silver
Renato Neto,Oostende,Belgium Jupiler Pro League,CM,Silver
Maikel Kieftenbeld,Birmingham City,England EFL Championship,CDM,Silver
Erick Torres,Club Tijuana,Mexico Liga MX,ST,Silver
Danny Post,VVV-Venlo,Holland Eredivisie,CDM,Silver
Kim Tae Hwan,Ulsan Hyundai,Korea K-League Classic,RB,Silver
Facundo Bertoglio,Aldosivi,Argentina Primera División ,LM,Silver
Yohan Tavares,Tondela,Portugal Liga NOS,CB,Silver
Richárd Magyar,Hammarby IF,Sweden Allsvenskan,CB,Silver
Isaac Cofie,Sivasspor,Turkey Süper Lig,CM,Silver
Jonathan Williams,Charlton Athletic,England EFL Championship,CAM,Silver
Alexandr Kolomeytsev,Lokomotiv Moskva,Russia FUT League,CDM,Silver
Carlos Ruiz,CD Tenerife,Spain Segunda A,CB,Silver
Tom Bradshaw,Millwall,England EFL Championship,ST,Silver
George Thorne,Derby County,England EFL Championship,CDM,Silver
Bryan Oviedo,FC København,Denmark Superliga,LB,Silver
Steven Beitashour,Los Angeles FC,USA Major League Soccer,RB,Silver
Pichu Atienza,Real Zaragoza,Spain Segunda A,CB,Silver
Michael Pereira,CFR Cluj,Romania Liga I,RM,Silver
Justin Morrow,Toronto FC,USA Major League Soccer,LB,Silver
Denis Alibec,Astra Giurgiu,Romania Liga I,ST,Silver
Clemens Fandrich,Erzgebirge Aue,Germany 2. Bundesliga,CM,Silver
Sören Bertram,1. FC Magdeburg,Germany 3. Liga,LM,Silver
Juan Agudelo,New England Revolution,USA Major League Soccer,ST,Silver
Christophe Diandy,Charleroi,Belgium Jupiler Pro League,CDM,Silver
Aristote Nsiala,Ipswich Town,England EFL League One,CB,Silver
Jake Bidwell,Swansea City,England EFL Championship,LB,Silver
Rodrigo Millar,Monarcas Morelia,Mexico Liga MX,CM,Silver
Conor McLaughlin,Sunderland,England EFL League One,RB,Silver
Lucien Owona,UD Almería,Spain Segunda A,CB,Silver
John Marquis,Portsmouth,England EFL League One,ST,Silver
David Davis,Birmingham City,England EFL Championship,CM,Silver
Toribio,Racing de Santander,Spain Segunda A,CDM,Silver
Niccolò Giannetti,Salernitana,Italy Serie B,ST,Silver
Marcel Ritzmaier,Wolfsberger AC,Austria Bundesliga,CM,Silver
Mikkel Kirkeskov,Piast Gliwice,Poland Ekstraklasa,LB,Silver
Javi Ros,Real Zaragoza,Spain Segunda A,CM,Silver
Fredrik Ulvestad,Djurgårdens IF,Sweden Allsvenskan,CM,Silver
Veysel Sarı,Kasımpaşa,Turkey Süper Lig,CB,Silver
Ján Greguš,Minnesota United FC,USA Major League Soccer,CM,Silver
James Collins,Luton Town,England EFL Championship,ST,Silver
Matteo Ciofani,Pescara,Italy Serie B,RB,Silver
Jack Hunt,Bristol City,England EFL Championship,RB,Silver
Thorsten Schick,Rapid Wien,Austria Bundesliga,RB,Silver
David Blacha,VfL Osnabrück,Germany 2. Bundesliga,CM,Silver
Juan Dominguez,Sturm Graz,Austria Bundesliga,CM,Silver
Anton Fink,Karlsruher SC,Germany 2. Bundesliga,CF,Silver
Diego Novaretti,Rosario Central,Argentina Primera División ,CB,Silver
Steven Caulker,Alanyaspor,Turkey Süper Lig,CB,Silver
Dominik Schmidt,Holstein Kiel,Germany 2. Bundesliga,CB,Silver
Patrick Farkas,Red Bull Salzburg,Austria Bundesliga,RB,Silver
Aleksandar Ignjovski,Holstein Kiel,Germany 2. Bundesliga,RB,Silver
Stephan Salger,Arminia Bielefeld,Germany 2. Bundesliga,CB,Silver
Marco Rojas,SønderjyskE,Denmark Superliga,CAM,Silver
Mohammed Abubakari,Helsingborgs IF,Sweden Allsvenskan,CDM,Silver
Lionn,Famalicão,Portugal Liga NOS,RB,Silver
John Chibuike,Falkenbergs FF,Sweden Allsvenskan,CAM,Silver
Carlos Fierro,San Jose Earthquakes,USA Major League Soccer,RM,Silver
Carlos Guzmán,Necaxa,Mexico Liga MX,RB,Silver
Zheng Zheng,Shandong Luneng Taishan,China Super League,LB,Silver
Federico Mancinelli,Patronato,Argentina Primera División ,CB,Silver
Juanjo,GIF Sundsvall,Sweden Allsvenskan,CDM,Silver
Unai Medina,Real Sporting de Gijón,Spain Segunda A,RB,Silver
Ivan Obradović,Legia Warszawa,Poland Ekstraklasa,LB,Silver
Khaleem Hyland,Al Faisaly,Saudi Dawry Jameel League,CDM,Silver
Etzaz Hussain,Molde FK,Norway Eliteserien,CM,Silver
Ante Kulušić,MKE Ankaragücü,Turkey Süper Lig,CB,Silver
Michael Sollbauer,Wolfsberger AC,Austria Bundesliga,CB,Silver
Ulises Dávila,Wellington Phoenix,Australia Hyundai A-League,CAM,Silver
Daniel Opare,Antwerp,Belgium Jupiler Pro League,RB,Silver
Bernard Parker,Kaizer Chiefs,South Africa Premier SL,CF,Silver
Zargo Touré,Gençlerbirliği SK,Turkey Süper Lig,CB,Silver
Marc Pedraza,RCD Mallorca,Spain Primera Division,CDM,Silver
Erik Falkenburg,ADO Den Haag,Holland Eredivisie,ST,Silver
Lombán,Málaga CF,Spain Segunda A,CB,Silver
Korey Smith,Bristol City,England EFL Championship,CM,Silver
Sílvio,Vitória Setúbal,Portugal Liga NOS,LB,Silver
Artur Sobiech,Lechia Gdańsk,Poland Ekstraklasa,ST,Silver
Júnior Negão,Ulsan Hyundai,Korea K-League Classic,ST,Silver
Sascha Bigalke,SpVgg Unterhaching,Germany 3. Liga,CF,Silver
Andrew Shinnie,Luton Town,England EFL Championship,CM,Silver
Samuel Souprayen,AJ Auxerre,France Ligue 2,CB,Silver
Ahmed Kashi,ESTAC Troyes,France Ligue 2,CDM,Silver
Vincent Rüfli,FC St. Gallen,Switzerland Super League,RB,Silver
Carlos Carmona,CD Viñazur,Chile Campeonato Nacional Scotiabank,CDM,Silver
Alessandro Tuia,Benevento,Italy Serie B,CB,Silver
Aziz Bouhaddouz,SV Sandhausen,Germany 2. Bundesliga,ST,Silver
Manu Barreiro,CD Lugo,Spain Segunda A,ST,Silver
Rudy Gestede,Middlesbrough,England EFL Championship,ST,Silver
Leandro Carrijo,FC Juárez,Mexico Liga MX,ST,Silver
Guillermo Molins,Malmö FF,Sweden Allsvenskan,ST,Silver
Francisco Acuña,Puebla,Mexico Liga MX,RM,Silver
Fabio Daprelà,FC Lugano,Switzerland Super League,CB,Silver
Niall McGinn,Aberdeen,Scotland Premiership,LM,Silver
David Pisot,Karlsruher SC,Germany 2. Bundesliga,CB,Silver
Elliott Bennett,Blackburn Rovers,England EFL Championship,RB,Silver
Andy King,Rangers,Scotland Premiership,CM,Silver
Corry Evans,Blackburn Rovers,England EFL Championship,CDM,Silver
Thomas Rogne,Lech Poznań,Poland Ekstraklasa,CB,Silver
Kim Kwang Suk,Pohang Steelers,Korea K-League Classic,CB,Silver
Mano,Vitória Setúbal,Portugal Liga NOS,RB,Silver
Aurélien Collin,Philadelphia Union,USA Major League Soccer,CB,Silver
Michiel Kramer,ADO Den Haag,Holland Eredivisie,ST,Silver
Denis Tonucci,Juve Stabia,Italy Serie B,CB,Silver
Ľubomír Guldan,Zagłębie Lubin,Poland Ekstraklasa,CB,Silver
Eric Lichaj,Hull City,England EFL Championship,RB,Silver
Riccardo Maniero,Pescara,Italy Serie B,ST,Silver
Stefano Celozzi,VfL Bochum,Germany 2. Bundesliga,RB,Silver
Ande Dona Ndoh,AS Nancy,France Ligue 2,ST,Silver
Christian Ramsebner,LASK,Austria Bundesliga,CB,Silver
Christian Strohdiek,SC Paderborn 07,Germany 1. Bundesliga,CB,Silver
Sören Gonther,Erzgebirge Aue,Germany 2. Bundesliga,CB,Silver
Johannes van den Bergh,Holstein Kiel,Germany 2. Bundesliga,LB,Silver
Georges Mandjeck,Sparta Praha,Czech Republic HET Liga,CDM,Silver
Jo Inge Berget,Malmö FF,Sweden Allsvenskan,ST,Silver
Błażej Augustyn,Lechia Gdańsk,Poland Ekstraklasa,CB,Silver
Diego Vera,Curicó Unido,Chile Campeonato Nacional Scotiabank,ST,Silver
Daniel Gordon,Karlsruher SC,Germany 2. Bundesliga,CB,Silver
Zhang Chengdong,Hebei China Fortune,China Super League,RM,Silver
Mark Beevers,Peterborough United,England EFL League One,CB,Silver
Huang Bowen,Guangzhou Evergrande Taobao,China Super League,CDM,Silver
Tomáš Necid,ADO Den Haag,Holland Eredivisie,ST,Silver
Chong Te Se,Shimizu S-Pulse,Japan J1 League,ST,Silver
Dejan Damjanović,Suwon Bluewings,Korea K-League Classic,ST,Silver
Edgar,Daegu FC,Korea K-League Classic,ST,Silver
George Boyd,Peterborough United,England EFL League One,LM,Silver
Alex Pearce,Millwall,England EFL Championship,CB,Silver
Arnaud Djoum,Al Raed,Saudi Dawry Jameel League,CM,Silver
Ignacio González,León,Mexico Liga MX,CB,Silver
Aydın Karabulut,MKE Ankaragücü,Turkey Süper Lig,LM,Silver
Simone Grippo,Real Zaragoza,Spain Segunda A,CB,Silver
Jon Erice,Vancouver Whitecaps,USA Major League Soccer,CDM,Silver
Bellvís,AD Alcorcón,Spain Segunda A,LB,Silver
Bernd Nehrig,Eintracht Braunschweig,Germany 3. Liga,CDM,Silver
Lasse Nielsen,Malmö FF,Sweden Allsvenskan,CB,Silver
Viktor Elm,Kalmar FF,Sweden Allsvenskan,CB,Silver
Maynor Figueroa,Houston Dynamo,USA Major League Soccer,CB,Silver
Rúrik Gíslason,SV Sandhausen,Germany 2. Bundesliga,RM,Silver
Christoph Leitgeb,Sturm Graz,Austria Bundesliga,CM,Silver
Nathan Dyer,Swansea City,England EFL Championship,RM,Silver
Jesús Rueda,Extremadura UD,Spain Segunda A,CB,Silver
Lee Tomlin,Cardiff City,England EFL Championship,CAM,Silver
Tomasz Jodłowiec,Piast Gliwice,Poland Ekstraklasa,CDM,Silver
Matías Cahais,O'Higgins,Chile Campeonato Nacional Scotiabank,CB,Silver
İlhan Parlak,MKE Ankaragücü,Turkey Süper Lig,ST,Silver
José Semedo,Vitória Setúbal,Portugal Liga NOS,CDM,Silver
Aythami Artiles,UD Las Palmas,Spain Segunda A,CB,Silver
Vullnet Basha,Wisła Kraków,Poland Ekstraklasa,CDM,Silver
Paul Huntington,Preston North End,England EFL Championship,CB,Silver
Liam Bridcutt,Bolton Wanderers,England EFL League One,CDM,Silver
Kieran Lee,Sheffield Wednesday,England EFL Championship,CM,Silver
Joe Garner,Wigan Athletic,England EFL Championship,ST,Silver
Danijel Milićević,Eupen,Belgium Jupiler Pro League,CAM,Silver
Magnus Troest,Juve Stabia,Italy Serie B,CB,Silver
Steffen Hagen,Odds Ballklubb,Norway Eliteserien,CB,Silver
Park Chu Young,FC Seoul,Korea K-League Classic,ST,Silver
Javier Acuña,Albacete Balompié,Spain Segunda A,ST,Silver
Tim Sparv,FC Midtjylland,Denmark Superliga,CM,Silver
Lee Wallace,Queens Park Rangers,England EFL Championship,LB,Silver
Will Johnson,Orlando City SC,USA Major League Soccer,CDM,Silver
Chris Wondolowski,San Jose Earthquakes,USA Major League Soccer,ST,Silver
Drew Moor,Toronto FC,USA Major League Soccer,CB,Silver
Sébastien Pocognoli,Standard Liège,Belgium Jupiler Pro League,LB,Silver
Glenn Whelan,Heart of Midlothian,Scotland Premiership,CDM,Silver
Roland Lamah,FC Cincinnati,USA Major League Soccer,LM,Silver
Uğur Uçar,Medipol Başakşehir,Turkey Süper Lig,RB,Silver
Florian Klein,Austria Wien,Austria Bundesliga,RB,Silver
Andrés Pérez,Independiente Santa Fe,Colombia Liga Aguila,CDM,Silver
Steven Taylor,Wellington Phoenix,Australia Hyundai A-League,CB,Silver
Danny Fox,Wigan Athletic,England EFL Championship,CB,Silver
Mario Sonnleitner,Rapid Wien,Austria Bundesliga,CB,Silver
Rasmus Lindgren,BK Häcken,Sweden Allsvenskan,CB,Silver
Jakub Rzeźniczak,Wisła Płock,Poland Ekstraklasa,CB,Silver
Richard Stearman,Sheffield United,England Premier League,CB,Silver
Àngel Rangel,Queens Park Rangers,England EFL Championship,RB,Silver
Lucas Licht,Gimnasia y Esgrima La Plata,Argentina Primera División ,LB,Silver
Espen Ruud,Odds Ballklubb,Norway Eliteserien,RB,Silver
Davy De fauw,Zulte Waregem,Belgium Jupiler Pro League,RB,Silver
Luíz Carlos,FC Paços de Ferreira,Portugal Liga NOS,CDM,Silver
Emiliano Papa,Arsenal de Sarandí,Argentina Primera División ,LB,Silver
Yoshito Okubo,Júbilo Iwata,Japan J1 League,ST,Silver
Jason Shackell,Lincoln City,England EFL League One,CB,Silver
Chris Burke,Kilmarnock,Scotland Premiership,RM,Silver
Stewart Downing,Blackburn Rovers,England EFL Championship,RM,Silver
Yuri,SD Ponferradina,Spain Segunda A,ST,Silver
Benjamin Corgnet,RC Strasbourg,France Ligue 1,CAM,Silver
Luca Paganini,Frosinone,Italy Serie B,RM,Silver
Francesco Zampano,Frosinone,Italy Serie B,RM,Silver
Florent Muslija,Hannover 96,Germany 2. Bundesliga,LM,Silver
Pedro Pereira,Bristol City,England EFL Championship,RM,Silver
Christian Rivera,CD Leganés,Spain Primera Division,CDM,Silver
Joseph Minala,Lazio,Italy Serie A,CM,Silver
Quentin Cornette,Amiens SC,France Ligue 1,RM,Silver
Jessy Deminguet,SM Caen,France Ligue 2,CM,Silver
Steven Fortès,Racing Club de Lens,France Ligue 2,CB,Silver
Mattia Valoti,Spal,Italy Serie A,CM,Silver
Nicolas Cozza,Montpellier HSC,France Ligue 1,CB,Silver
Ridle Baku,1. FSV Mainz 05,Germany 1. Bundesliga,CM,Silver
Marco D'Alessandro,Spal,Italy Serie A,LM,Silver
Junior Sambia,Montpellier HSC,France Ligue 1,CM,Silver
Vasco Regini,Sampdoria,Italy Serie A,LB,Silver
Matteo Scozzarella,Parma,Italy Serie A,CM,Silver
Pierre-Yves Polomat,Gençlerbirliği SK,Turkey Süper Lig,LB,Silver
Leandro Bacuna,Cardiff City,England EFL Championship,CDM,Silver
Luca Pellegrini,Piemonte Calcio,Italy Serie A,LB,Silver
Ashley Richards,Cardiff City,England EFL Championship,RB,Silver
Adam Zreľák,1. FC Nürnberg,Germany 2. Bundesliga,ST,Silver
Yan Valery,Southampton,England Premier League,RWB,Silver
Gary Madine,Cardiff City,England EFL Championship,ST,Silver
Domingos Quina,Watford,England Premier League,CAM,Silver
Francesco Cassata,Genoa,Italy Serie A,CM,Silver
Philipp Lienhart,SC Freiburg,Germany 1. Bundesliga,CB,Silver
Sofian Kiyine,Salernitana,Italy Serie B,CM,Silver
Laurent Ciman,Toronto FC,USA Major League Soccer,CB,Silver
Harrison Manzala,Le Mans FC,France Ligue 2,LM,Silver
Zaydou Youssouf,AS Saint-Étienne,France Ligue 1,CM,Silver
Aguilera,AD Alcorcón,Spain Segunda A,CDM,Silver
Hamza Mendyl,Dijon FCO,France Ligue 1,LB,Silver
